UF,ANO_ABERTURA,ANO_BAIXA,SIT_CADASTRAL,MOTIVO,QTD
AC,2005,Não se aplica,Ativa,NÃO INFORMADO,360
AC,2005,Não se aplica,Inapta,INEXISTENTE DE FATO,1
AC,2005,Não se aplica,Inapta,OMISSAO DE DECLARACOES,433
AC,2005,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2005,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,2
AC,2005,2005,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,7
AC,2005,2006,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,11
AC,2005,2006,Baixada,INCORPORACAO,1
AC,2005,2007,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,15
AC,2005,2007,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),1
AC,2005,2008,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,13
AC,2005,2008,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),2
AC,2005,2008,Baixada,INAPTIDAO (LEI 11.941/2009 ART.54),1
AC,2005,2009,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,13
AC,2005,2009,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),1
AC,2005,2010,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,11
AC,2005,2010,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),2
AC,2005,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,10
AC,2005,2011,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),2
AC,2005,2012,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,9
AC,2005,2012,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),3
AC,2005,2013,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2005,2013,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),2
AC,2005,2014,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,12
AC,2005,2014,Baixada,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006),2
AC,2005,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,11
AC,2005,2015,Baixada,OMISSAO CONTUMAZ,147
AC,2005,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,10
AC,2005,2016,Baixada,INCORPORACAO,2
AC,2005,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,22
AC,2005,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,23
AC,2005,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,23
AC,2005,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,7
AL,2005,Não se aplica,Ativa,NÃO INFORMADO,934
AL,2005,Não se aplica,Inapta,INEXISTENTE DE FATO,1
AL,2005,Não se aplica,Inapta,PRATICA IRREGULAR DE OPERACAO DE COMERCIO EXTERIOR,1
AL,2005,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1369
AL,2005,Não se aplica,Inapta,LOCALIZACAO DESCONHECIDA,1
