COD_MOTIVO;MOTIVO
1;ATIVA
2;INEXISTENTE DE FATO
3;OMISSAO DE DECLARACOES
4;INTERRUPCAO TEMPORARIA DAS ATIVIDADES
5;PEDIDO DE BAIXA INDEFERIDA
6;EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA
7;INCORPORACAO
8;EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006)
9;INAPTIDAO (LEI 11.941/2009 ART.54)
10;OMISSAO CONTUMAZ
11;PRATICA IRREGULAR DE OPERACAO DE COMERCIO EXTERIOR
12;LOCALIZACAO DESCONHECIDA
13;BAIXA INICIADA EM ANALISE
14;BAIXA DEFERIDA PELA RFB
15;INCONSISTÊNCIA CADASTRAL
16;ANULACAO POR MULTICIPLIDADE
17;ANULACAO POR VICIOS
18;REGISTRO CANCELADO
19;ENCERRAMENTO DA FALENCIA
20;BAIXA INDEFERIDA PELA RFB E AGUARDANDO ANALISE DO CONVENENTE
21;BAIXA INDEFERIDA PELA RFB
22;INDICIO INTERPOS. FRAUDULENTA
23;ANULACAO DE INSCRICAO INDEVIDA
24;CISAO TOTAL
25;EXTINCAO POR ENCERRAMENTO LIQUIDACAO
26;ENCERRAMENTO DA LIQUIDACAO
27;BAIXA REGISTRADA NA JUNTA
28;FUSAO
29;DETERMINACAO JUDICIAL
30;EXTINCAO-UNIFICACAO DA FILIAL
31;OMISSA NAO LOCALIZADA
32;BAIXA DEFERIDA PELA RFB E INDEFERIDA PELO CONVENENTE
33;ELEVACAO A MATRIZ
34;INAPTIDAO
35;BAIXA DEFERIDA PELA RFB E SEFAZ
36;BAIXA INDEFERIDA PELA RFB E DEFERIDA PELO CONVENENTE
37;OMISSA CONTUMAZ
38;FALTA DE PLURALIDADE DE SOCIOS
39;BAIXA DE PRODUTOR RURAL
40;BAIXA DEFERIDA PELA RFB E SEFIN E INDEFERIDA PELA SEFAZ
41;BAIXA DEFERIDA PELA RFB E SEFIN
42;BAIXA DEFERIDA PELA RFB E SEFAZ E INDEFERIDA PELA SEFIN
43;BAIXA INDEFERIDA PELA RFB E SEFAZ
44;ANULACAO POR NAO CONFIRMADO ATO DE REGISTRO DO MEI NA JUNTA COMERCIAL
45;BAIXA INDEFERIDA PELA RFB E SEFAZ E DEFERIDA PELA SEFIN
