UF,ANO_ABERTURA,ANO_BAIXA,SIT_CADASTRAL,MOTIVO,QTD
AC,2005,Não se aplica,Ativa,NÃO INFORMADO,3
AC,2006,Não se aplica,Ativa,NÃO INFORMADO,4
AC,2006,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2007,Não se aplica,Ativa,NÃO INFORMADO,8
AC,2008,Não se aplica,Ativa,NÃO INFORMADO,5
AC,2009,Não se aplica,Ativa,NÃO INFORMADO,8
AC,2010,Não se aplica,Ativa,NÃO INFORMADO,713
AC,2010,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2010,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,1
AC,2010,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,2
AC,2010,Não se aplica,NULA,ANULACAO POR MULTICIPLIDADE,1
AC,2011,Não se aplica,Ativa,NÃO INFORMADO,526
AC,2012,Não se aplica,Ativa,NÃO INFORMADO,567
AC,2013,Não se aplica,Ativa,NÃO INFORMADO,757
AC,2014,Não se aplica,Ativa,NÃO INFORMADO,740
AC,2015,Não se aplica,Ativa,NÃO INFORMADO,1073
AC,2016,Não se aplica,Ativa,NÃO INFORMADO,1256
AC,2017,Não se aplica,Ativa,NÃO INFORMADO,1482
AC,2018,Não se aplica,Ativa,NÃO INFORMADO,2323
AC,2019,Não se aplica,Ativa,NÃO INFORMADO,4116
AC,2020,Não se aplica,Ativa,NÃO INFORMADO,2612
AL,2005,Não se aplica,Ativa,NÃO INFORMADO,78
AL,2006,Não se aplica,Ativa,NÃO INFORMADO,71
AL,2007,Não se aplica,Ativa,NÃO INFORMADO,69
AL,2007,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AL,2008,Não se aplica,Ativa,NÃO INFORMADO,143
AL,2008,Não se aplica,Inapta,OMISSAO DE DECLARACOES,2
AL,2008,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AL,2008,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2009,Não se aplica,Ativa,NÃO INFORMADO,138
AL,2009,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AL,2009,2014,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2009,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2010,Não se aplica,Ativa,NÃO INFORMADO,3871
AL,2010,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AL,2010,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,26
AL,2010,Não se aplica,NULA,ANULACAO POR MULTICIPLIDADE,1
AL,2010,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2010,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2011,Não se aplica,Ativa,NÃO INFORMADO,4619
AL,2011,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,6
AL,2011,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2011,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2012,Não se aplica,Ativa,NÃO INFORMADO,5254
AL,2012,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AL,2012,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,1
AL,2012,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,3
AL,2013,Não se aplica,Ativa,NÃO INFORMADO,5476
AL,2013,2014,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2013,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2014,Não se aplica,Ativa,NÃO INFORMADO,5879
AL,2014,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2015,Não se aplica,Ativa,NÃO INFORMADO,9339
AL,2015,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AL,2015,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AL,2016,Não se aplica,Ativa,NÃO INFORMADO,9067
AL,2016,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AL,2017,Não se aplica,Ativa,NÃO INFORMADO,10489
AL,2017,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AL,2018,Não se aplica,Ativa,NÃO INFORMADO,13716
AL,2019,Não se aplica,Ativa,NÃO INFORMADO,19071
AL,2019,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2020,Não se aplica,Ativa,NÃO INFORMADO,12883
AL,2020,Não se aplica,Suspensa,INDICIO INTERPOS. FRAUDULENTA,1
AM,2005,Não se aplica,Ativa,NÃO INFORMADO,15
AM,2006,Não se aplica,Ativa,NÃO INFORMADO,7
AM,2007,Não se aplica,Ativa,NÃO INFORMADO,8
AM,2008,Não se aplica,Ativa,NÃO INFORMADO,9
AM,2008,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AM,2008,2012,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AM,2009,Não se aplica,Ativa,NÃO INFORMADO,18
AM,2010,Não se aplica,Ativa,NÃO INFORMADO,3037
AM,2010,Não se aplica,Inapta,LOCALIZACAO DESCONHECIDA,1
AM,2010,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,5
AM,2010,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AM,2010,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,11
AM,2010,2018,Baixada,REGISTRO CANCELADO,3
AM,2011,Não se aplica,Ativa,NÃO INFORMADO,2247
AM,2011,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,1
AM,2011,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AM,2012,Não se aplica,Ativa,NÃO INFORMADO,2814
AM,2012,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AM,2013,Não se aplica,Ativa,NÃO INFORMADO,3385
AM,2013,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AM,2014,Não se aplica,Ativa,NÃO INFORMADO,4318
AM,2014,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AM,2014,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AM,2015,Não se aplica,Ativa,NÃO INFORMADO,7918
AM,2016,Não se aplica,Ativa,NÃO INFORMADO,8354
AM,2017,Não se aplica,Ativa,NÃO INFORMADO,11120
AM,2017,Não se aplica,Suspensa,INCONSISTÊNCIA CADASTRAL,1
AM,2018,Não se aplica,Ativa,NÃO INFORMADO,13058
AM,2018,Não se aplica,Suspensa,INCONSISTÊNCIA CADASTRAL,1
AM,2019,Não se aplica,Ativa,NÃO INFORMADO,20790
AM,2020,Não se aplica,Ativa,NÃO INFORMADO,16613
AP,2005,Não se aplica,Ativa,NÃO INFORMADO,3
AP,2006,Não se aplica,Ativa,NÃO INFORMADO,2
AP,2006,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AP,2007,Não se aplica,Ativa,NÃO INFORMADO,3
AP,2008,Não se aplica,Ativa,NÃO INFORMADO,9
AP,2009,Não se aplica,Ativa,NÃO INFORMADO,10
AP,2010,Não se aplica,Ativa,NÃO INFORMADO,758
AP,2010,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AP,2011,Não se aplica,Ativa,NÃO INFORMADO,843
