UF,ANO_ABERTURA,ANO_BAIXA,SIT_CADASTRAL,MOTIVO,QTD
AC,2005,Não se aplica,Ativa,NÃO INFORMADO,214
AC,2005,Não se aplica,Suspensa,INEXISTENTE DE FATO,1
AC,2005,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2006,Não se aplica,Ativa,NÃO INFORMADO,219
AC,2006,Não se aplica,Inapta,OMISSAO DE DECLARACOES,2
AC,2006,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AC,2007,Não se aplica,Ativa,NÃO INFORMADO,312
AC,2007,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AC,2007,2009,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2007,2013,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2008,Não se aplica,Ativa,NÃO INFORMADO,314
AC,2008,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2008,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2009,Não se aplica,Ativa,NÃO INFORMADO,342
AC,2009,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2009,2010,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2009,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2009,2012,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2009,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2009,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2010,Não se aplica,Ativa,NÃO INFORMADO,443
AC,2010,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2010,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2010,2012,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2010,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2010,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2010,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,Não se aplica,Ativa,NÃO INFORMADO,501
AC,2011,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2011,2011,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,2012,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,2013,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,2014,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2011,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2011,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2011,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2012,Não se aplica,Ativa,NÃO INFORMADO,462
AC,2012,Não se aplica,Inapta,OMISSAO DE DECLARACOES,2
AC,2012,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,2
AC,2012,2013,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2012,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2012,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2012,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2013,Não se aplica,Ativa,NÃO INFORMADO,496
AC,2013,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2013,Não se aplica,Inapta,LOCALIZACAO DESCONHECIDA,1
AC,2013,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,1
AC,2013,2014,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2013,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2013,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2013,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2013,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2013,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2014,Não se aplica,Ativa,NÃO INFORMADO,501
AC,2014,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2014,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2014,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2014,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2015,Não se aplica,Ativa,NÃO INFORMADO,532
AC,2015,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2015,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2015,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2015,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2016,Não se aplica,Ativa,NÃO INFORMADO,520
AC,2016,Não se aplica,Inapta,OMISSAO DE DECLARACOES,1
AC,2016,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2016,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,9
AC,2016,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3
AC,2017,Não se aplica,Ativa,NÃO INFORMADO,622
AC,2017,Não se aplica,Inapta,OMISSAO DE DECLARACOES,3
AC,2017,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,2
AC,2017,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,9
AC,2017,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,7
AC,2017,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AC,2018,Não se aplica,Ativa,NÃO INFORMADO,773
AC,2018,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2018,2018,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,4
AC,2018,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,8
AC,2018,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2019,Não se aplica,Ativa,NÃO INFORMADO,1000
AC,2019,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,1
AC,2019,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AC,2019,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,5
AC,2020,Não se aplica,Ativa,NÃO INFORMADO,367
AC,2020,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2005,Não se aplica,Ativa,NÃO INFORMADO,844
AL,2005,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,2
AL,2005,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,3
AL,2005,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,25
AL,2005,2015,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AL,2006,Não se aplica,Ativa,NÃO INFORMADO,899
AL,2006,Não se aplica,Inapta,OMISSAO DE DECLARACOES,2
AL,2006,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,5
AL,2006,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,3
AL,2006,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,24
AL,2006,Não se aplica,Suspensa,BAIXA DEFERIDA PELA RFB,2
AL,2006,2006,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2006,2007,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2006,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2006,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2006,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2007,Não se aplica,Ativa,NÃO INFORMADO,1082
AL,2007,Não se aplica,Inapta,OMISSAO DE DECLARACOES,3
AL,2007,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,3
AL,2007,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,6
AL,2007,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,31
AL,2007,Não se aplica,Suspensa,BAIXA DEFERIDA PELA RFB,4
AL,2007,Não se aplica,Suspensa,BAIXA INDEFERIDA PELA RFB E AGUARDANDO ANALISE DO CONVENENTE,1
AL,2007,Não se aplica,Suspensa,BAIXA INDEFERIDA PELA RFB E DEFERIDA PELO CONVENENTE,1
AL,2007,2009,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AL,2007,2016,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AL,2007,2017,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
AL,2007,2019,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2007,2020,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1
AL,2008,Não se aplica,Ativa,NÃO INFORMADO,1427
AL,2008,Não se aplica,Inapta,OMISSAO DE DECLARACOES,4
AL,2008,Não se aplica,Suspensa,BAIXA INICIADA EM ANALISE,2
AL,2008,Não se aplica,Suspensa,INTERRUPCAO TEMPORARIA DAS ATIVIDADES,4
AL,2008,Não se aplica,Suspensa,PEDIDO DE BAIXA INDEFERIDA,23
AL,2008,2009,Baixada,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,2
