COD_MOTIVO;MOTIVO
1;ATIVA
2;INEXISTENTE DE FATO
3;INTERRUPCAO TEMPORARIA DAS ATIVIDADES
4;OMISSAO DE DECLARACOES
5;PEDIDO DE BAIXA INDEFERIDA
6;EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA
7;LOCALIZACAO DESCONHECIDA
8;BAIXA INICIADA EM ANALISE
9;BAIXA DEFERIDA PELA RFB
10;BAIXA INDEFERIDA PELA RFB E AGUARDANDO ANALISE DO CONVENENTE
11;BAIXA INDEFERIDA PELA RFB E DEFERIDA PELO CONVENENTE
12;EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR 123/2006)
13;DETERMINACAO JUDICIAL
14;INCONSISTÊNCIA CADASTRAL
15;INDICIO INTERPOS. FRAUDULENTA
16;PRATICA IRREGULAR DE OPERACAO DE COMERCIO EXTERIOR
17;BAIXA INDEFERIDA PELA RFB
18;BAIXA DEFERIDA PELA RFB E SEFAZ
19;ANULACAO POR VICIOS
20;EXTINCAO-UNIFICACAO DA FILIAL
21;BAIXA REGISTRADA NA JUNTA
22;FALTA DE PLURALIDADE DE SOCIOS
23;INCORPORACAO
24;OMISSA CONTUMAZ
25;OMISSA NAO LOCALIZADA
26;BAIXA DEFERIDA PELA RFB E INDEFERIDA PELO CONVENENTE
27;ANULACAO DE INSCRICAO INDEVIDA
28;ANULACAO POR MULTICIPLIDADE
29;REGISTRO CANCELADO
30;BAIXA DEFERIDA PELA RFB E SEFIN
31;ELEVACAO A MATRIZ
32;ENCERRAMENTO DA LIQUIDACAO
